epoch,train_loss,val_loss,val_mae,val_rmse,epoch_time_sec,throughput_samples_per_sec,data_load_time_sec,compute_time_sec,gpu_util_avg,cpu_util_avg
1,0.22457990242533188,0.1858667838573456,0.34209831833839416,0.43071902394294737,76.39079904556274,79.05402319981077,0.0023844242095947266,73.92664885520935,0.0,0.0
2,0.17748476679622388,0.1816976273059845,0.33812161922454836,0.4258226025104523,76.84650707244873,78.58522436558633,0.0022966861724853516,74.37728261947632,0.0,0.0
3,0.17616256056370413,0.181187744140625,0.3375077474117279,0.4252187931537628,76.81027364730835,78.62229508163747,0.002324819564819336,74.32349634170532,0.0,0.0
4,0.17513228625202243,0.18080757141113282,0.3375714957714081,0.4247611725330353,76.86874604225159,78.56248879981221,0.002317190170288086,74.36731815338135,0.0,0.0
5,0.1746104977337764,0.18035992801189424,0.33642728328704835,0.4242451202869415,76.8673050403595,78.56396158066421,0.002302408218383789,74.34505462646484,0.0,0.0
6,0.17447572225054914,0.18048400342464446,0.3366495597362518,0.4244002056121826,76.74924969673157,78.68480830578304,0.0023775100708007812,74.25720357894897,0.0,0.0
7,0.17414525343223328,0.18026042342185974,0.335799412727356,0.42412896633148195,76.74657869338989,78.687546765132,0.00228118896484375,74.24922275543213,0.0,0.0
8,0.17447056653513815,0.18333660542964936,0.3381314158439636,0.4277400076389313,76.88583827018738,78.54502384142742,0.002331256866455078,74.3626172542572,0.0,0.0
9,0.17366794142319994,0.17977789163589478,0.33569137573242186,0.42355097889900206,77.05123257637024,78.37642303793614,0.0023741722106933594,74.51845121383667,0.0,0.0
10,0.17417277381660567,0.18120497286319734,0.33674482703208924,0.4252407479286194,76.77472949028015,78.65869460034439,0.0023114681243896484,74.23958277702332,0.0,0.0
